127.0.0.1 - - [30/Apr/2019:08:41:32 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Laliga/celta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Laliga/levante.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Laliga/girona.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Laliga/valladolid.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Laliga/rayo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Laliga/hues.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/fca.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/hertha.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/svbreman.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/bvb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/portuna.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/frank.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/scfri.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/hanover.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/tsg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/rbleip.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/mainz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/borucia.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/fcbayern.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/fcn.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/fcsal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/vfb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/vfl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/Bundes/lever.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/atalanta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/mpoli.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/inter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/napol.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/calcho.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/bolona.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/fioren.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/juven.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/farma.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/spal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/cali.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/frosino.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/ssraci.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:42 +0900] "GET /TermProject/assets/img/serie/roma.jpg HTTP/1.1" 304 -
